workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_203,The body is not rectangular.,39U1BHVTDNK7M0MIMBHLC8OJKP3T30,106,f4851a2835228377e101b7546e3ee8a7,bottle,ShapeNet,2db802ef3de3d00618a36258eabc2b9c,bottle,ShapeNet,False,bottle/ShapeNet/2db802ef3de3d00618a36258eabc2b9c,bottle/ShapeNet/f4851a2835228377e101b7546e3ee8a7,True,bottle,bottle,0,"['the', 'body', 'is', 'not', 'rectangular']",5,the body is not rectangular,test,test,test,test,"[1, 10, 45, 7, 40, 128, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_947,The target bottle has a solid cylindrical cap.,3D8YOU6S9GDLJWOP5I5TO7M5DUB6U9,61,8b7933b0376cea4a1efe98244cb8c300,bottle,ShapeNet,8707d78855e8cce1ed51290fb4dc2857,bottle,ShapeNet,False,bottle/ShapeNet/8707d78855e8cce1ed51290fb4dc2857,bottle/ShapeNet/8b7933b0376cea4a1efe98244cb8c300,True,bottle,bottle,0,"['the', 'target', 'bottle', 'has', 'a', 'solid', 'cylindrical', 'cap']",8,the target bottle has a solid cylindrical cap,train,test,train,test,"[1, 10, 11, 577, 24, 26, 291, 176, 435, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_491,The target does not have a cork.,3SLE99ER0P68B7ZU7WL9GFNCTEWBZL,70,a34966853ab2272ab2047d3072d5e051,bottle,ShapeNet,d9aee510fd5e8afb93fb5c975e8de2b7,bottle,ShapeNet,False,bottle/ShapeNet/d9aee510fd5e8afb93fb5c975e8de2b7,bottle/ShapeNet/a34966853ab2272ab2047d3072d5e051,False,bottle,bottle,0,"['the', 'target', 'does', 'not', 'have', 'a', 'cork']",7,the target does not have a cork,train,test,train,test,"[1, 10, 11, 39, 40, 84, 26, 3199, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_553,The target object has a long bottle neck.,3M23Y66PO4054JWLGDAT964HSX06S3,330,b1271f402910cf05cfdfe3f21f42a111,bottle,ShapeNet,47ede0c10e36fe309029fc9335eeb05c,bottle,ShapeNet,False,bottle/ShapeNet/47ede0c10e36fe309029fc9335eeb05c,bottle/ShapeNet/b1271f402910cf05cfdfe3f21f42a111,False,bottle,bottle,0,"['the', 'target', 'object', 'has', 'a', 'long', 'bottle', 'neck']",8,the target object has a long bottle neck,test,test,test,test,"[1, 10, 11, 419, 24, 26, 32, 577, 509, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,The shoulder is longer.,36NEMU28XH6003YMNYRBVR4OOF6MWD,71,d30623112e58b893eee7d6dab02eb061,bottle,ShapeNet,b00152d19e8f2b87b2d2b5b947dc0b8d,bottle,ShapeNet,False,bottle/ShapeNet/b00152d19e8f2b87b2d2b5b947dc0b8d,bottle/ShapeNet/d30623112e58b893eee7d6dab02eb061,True,bottle,bottle,0,"['the', 'shoulder', 'is', 'long', '-er']",5,the shoulder is long -er,train,test,train,test,"[1, 10, 1767, 7, 32, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_422,Target bottle has long straight neck,3ZSANO2JCH01NCPWH6DX3CHULWVFS7,52,547fa0085800c5c3846564a8a219239b,bottle,ShapeNet,fa44223c6f785c60e71da2487cb2ee5b,bottle,ShapeNet,False,bottle/ShapeNet/fa44223c6f785c60e71da2487cb2ee5b,bottle/ShapeNet/547fa0085800c5c3846564a8a219239b,False,bottle,bottle,0,"['target', 'bottle', 'has', 'long', 'straight', 'neck']",6,target bottle has long straight neck,val,test,val,test,"[1, 11, 577, 24, 32, 114, 509, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1191,The target is taller.,3EKVH9QME0XBKTU2WL31OU15BQVD28,33,e90e0506fd00fe93f42d6bd378df1c70,bottle,ShapeNet,bcacdde81063a5df30612f5c0ef21eb8,bottle,ShapeNet,False,bottle/ShapeNet/bcacdde81063a5df30612f5c0ef21eb8,bottle/ShapeNet/e90e0506fd00fe93f42d6bd378df1c70,True,bottle,bottle,0,"['the', 'target', 'is', 'tall', '-er']",5,the target is tall -er,train,test,train,test,"[1, 10, 11, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_90,The neck is thinner,3RRCEFRB7O5S8AB5M3VJMJA3SJVB4B,109,d5dd0b4d16d2b6808bda158eedb63a62,bottle,ShapeNet,cf6eff1143f9826ab5c14191b5dd293b,bottle,ShapeNet,False,bottle/ShapeNet/cf6eff1143f9826ab5c14191b5dd293b,bottle/ShapeNet/d5dd0b4d16d2b6808bda158eedb63a62,True,bottle,bottle,0,"['the', 'neck', 'is', 'thin', '-er']",5,the neck is thin -er,val,test,val,test,"[1, 10, 509, 7, 60, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_422,Target bottle has pointed lid,386PBUZZXHQUO1G2GN7H6OVRM9ZJLV,110,dc0926ce09d6ce78eb8e919b102c6c08,bottle,ShapeNet,cf6eff1143f9826ab5c14191b5dd293b,bottle,ShapeNet,False,bottle/ShapeNet/cf6eff1143f9826ab5c14191b5dd293b,bottle/ShapeNet/dc0926ce09d6ce78eb8e919b102c6c08,False,bottle,bottle,0,"['target', 'bottle', 'has', 'pointed', 'lid']",5,target bottle has pointed lid,val,test,val,test,"[1, 11, 577, 24, 387, 1715, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1416,It has almost no neck.,3EFVCAY5L52Z9UWJMYYD1J9L2B2J8F,60,546111e6869f41aca577e3e5353dd356,bottle,ShapeNet,6a96b74beea7f5b316aa41fc58452f78,bottle,ShapeNet,False,bottle/ShapeNet/6a96b74beea7f5b316aa41fc58452f78,bottle/ShapeNet/546111e6869f41aca577e3e5353dd356,False,bottle,bottle,0,"['it', 'has', 'almost', 'no', 'neck']",5,it has almost no neck,test,test,test,test,"[1, 23, 24, 505, 123, 509, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
